source_model_tag,model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,test_accuracy,test_loss,test_correct,test_total,param_count,model_size_kb,inference_ms_per_batch_gpu,elapsed_seconds
overnight-gru-256-2layer-drop0.0-lr0.0005,user-split-gru-256-2layer-drop0.0-lr0.0005,GRU,256,2,0.0,0.0005,40,16,0.8525,0.48633685704320667,0.8525,0.48633685704320667,0.8628428927680798,0.5163759079360011,346,401,600340,2347.8798828125,0.6284333333799926,12.451282300004095
overnight-gru-256-2layer-drop0.2-lr0.0005,user-split-gru-256-2layer-drop0.2-lr0.0005,GRU,256,2,0.2,0.0005,40,18,0.83,0.47214452845044436,0.83,0.47214452845044436,0.8503740648379052,0.521786317563711,341,401,600340,2347.8798828125,0.502760000138854,12.315803599994979
overnight-gru-128-2layer-drop0.2-lr0.001,user-split-gru-128-2layer-drop0.2-lr0.001,GRU,128,2,0.2,0.001,40,16,0.77,0.7957911741733551,0.77,0.7957911741733551,0.8403990024937655,0.39523531262416794,337,401,152724,599.3798828125,0.360736666819624,9.039312100001553
overnight-gru-256-2layer-drop0.1-lr0.0003,user-split-gru-256-2layer-drop0.1-lr0.0003,GRU,256,2,0.1,0.0003,40,20,0.745,1.015366686619818,0.745,1.015366686619818,0.8054862842892768,0.7093181632403424,323,401,600340,2347.8798828125,0.5100299999564111,12.37892329999886
overnight-gru-256-2layer-drop0.35-lr0.002,user-split-gru-256-2layer-drop0.35-lr0.002,GRU,256,2,0.35,0.002,40,14,0.925,0.25854900749865917,0.925,0.25854900749865917,0.9376558603491272,0.238348575685164,376,401,600340,2347.8798828125,0.5367833332760104,12.310185700000147
overnight-gru-256-3layer-drop0.0-lr0.0003,user-split-gru-256-3layer-drop0.0-lr0.0003,GRU,256,3,0.0,0.0003,40,16,0.7625,0.8237054476886988,0.7625,0.8237054476886988,0.8129675810473815,0.7411354538657124,326,401,995092,3890.1923828125,0.6455499998992309,15.644373600000108
overnight-gru-256-2layer-drop0.35-lr0.0005,user-split-gru-256-2layer-drop0.35-lr0.0005,GRU,256,2,0.35,0.0005,40,26,0.81,0.6093606589175761,0.81,0.6093606589175761,0.8827930174563591,0.3055487836239641,354,401,600340,2347.8798828125,0.5011300000963578,12.311353999997664
overnight-gru-128-2layer-drop0.35-lr0.0005,user-split-gru-128-2layer-drop0.35-lr0.0005,GRU,128,2,0.35,0.0005,40,21,0.7375,0.9103688428923488,0.7375,0.9103688428923488,0.7655860349127181,0.7672483549450996,307,401,152724,599.3798828125,0.35809999996369396,8.953972699993756
overnight-gru-256-2layer-drop0.2-lr0.001,user-split-gru-256-2layer-drop0.2-lr0.001,GRU,256,2,0.2,0.001,40,7,0.86,0.40761728449724616,0.86,0.40761728449724616,0.8428927680798005,0.5396075285135065,338,401,600340,2347.8798828125,0.5048033335090925,12.574186400001054
overnight-gru-256-2layer-drop0.1-lr0.0005,user-split-gru-256-2layer-drop0.1-lr0.0005,GRU,256,2,0.1,0.0005,40,25,0.8375,0.5193586592841893,0.8375,0.5193586592841893,0.8453865336658354,0.5681215587845467,339,401,600340,2347.8798828125,0.5162566664997333,12.391443900000013
overnight-gru-128-3layer-drop0.2-lr0.001,user-split-gru-128-3layer-drop0.2-lr0.001,GRU,128,3,0.2,0.001,40,13,0.795,0.7190289761871099,0.795,0.7190289761871099,0.8254364089775561,0.7527233553943491,331,401,251796,986.6923828125,0.4039233332150616,10.168242799998552
overnight-gru-128-3layer-drop0.2-lr0.0005,user-split-gru-128-3layer-drop0.2-lr0.0005,GRU,128,3,0.2,0.0005,40,36,0.7475,1.38754127683118,0.7475,1.38754127683118,0.8503740648379052,0.7912553315076447,341,401,251796,986.6923828125,0.4018966666383979,10.249584299999697
overnight-lstm-384-1layer-drop0.0-lr0.0005,user-split-lstm-384-1layer-drop0.0-lr0.0005,LSTM,384,1,0.0,0.0005,40,25,0.7125,1.3430348554626108,0.7125,1.3430348554626108,0.7605985037406484,0.7848395779543089,305,401,605204,2366.5673828125,0.3991233335303453,9.893874999994296
overnight-conv1d-64-4layer-drop0.35-lr0.0005,user-split-conv1d-64-4layer-drop0.35-lr0.0005,Conv1D,64,4,0.35,0.0005,35,32,0.87,0.39022856898605823,0.87,0.39022856898605823,0.9027431421446384,0.24361010858245621,362,401,39508,167.0244140625,0.5812100001397388,9.501655799998844
overnight-gru-128-3layer-drop0.35-lr0.0005,user-split-gru-128-3layer-drop0.35-lr0.0005,GRU,128,3,0.35,0.0005,40,25,0.7175,1.3858671489078551,0.7175,1.3858671489078551,0.8054862842892768,0.8579912274852952,323,401,251796,986.6923828125,0.3969000000021576,10.361981100002595
