model_tag,model_family,hidden_size,num_layers,dropout,learning_rate,epochs,best_epoch,best_valid_accuracy,best_valid_loss,final_valid_accuracy,final_valid_loss,param_count,model_size_kb,inference_ms_per_batch
overnight-lstm-256-3layer-drop0.35-lr0.001,LSTM,256,3,0.35,0.001,40,19,0.984375,0.06233761134790257,0.8640625,0.7099017523229122,1325076,5181.1962890625,4.310962000163272
overnight-conv1d-64-2layer-drop0.2-lr0.0005,Conv1D,64,2,0.2,0.0005,35,30,0.984375,0.2405950751155615,0.978125,0.2224189080297947,14548,63.8857421875,0.5094740004278719
overnight-lstm-384-3layer-drop0.0-lr0.001,LSTM,384,3,0.0,0.001,40,18,0.984375,0.08060502716107294,0.98125,0.09989793954882771,2970644,11609.1962890625,8.983747999882326
overnight-lstm-256-2layer-drop0.2-lr0.001,LSTM,256,2,0.2,0.001,40,17,0.984375,0.07499627384822816,0.9796875,0.07679177990648896,798740,3124.1298828125,2.6388380001299083
overnight-lstm-384-3layer-drop0.35-lr0.0005,LSTM,384,3,0.35,0.0005,40,22,0.9828125,0.09633496769238263,0.9765625,0.11344912587665021,2970644,11609.1962890625,9.43651800043881
overnight-gru-384-3layer-drop0.2-lr0.0003,GRU,384,3,0.2,0.0003,40,10,0.9828125,0.08250753176398576,0.9765625,0.08124150573275983,2229908,8715.6962890625,15.890637999982571
overnight-lstm-128-3layer-drop0.0-lr0.0005,LSTM,128,3,0.0,0.0005,40,30,0.9828125,0.08741209621075541,0.9828125,0.057200643816031516,334868,1313.1337890625,1.8360160000156611
overnight-gru-64-2layer-drop0.0-lr0.0005,GRU,64,2,0.0,0.0005,40,33,0.9828125,0.0860255984589457,0.975,0.0862705820705741,39508,158.3173828125,3.752198000438512
overnight-lstm-384-3layer-drop0.2-lr0.001,LSTM,384,3,0.2,0.001,40,17,0.9828125,0.07477953017223626,0.9609375,0.11569564307574183,2970644,11609.1962890625,8.735436000279151
overnight-lstm-384-2layer-drop0.2-lr0.0005,LSTM,384,2,0.2,0.0005,40,20,0.9828125,0.08338660669978708,0.975,0.10660737934522331,1787924,6988.1298828125,6.931374000268988
overnight-lstm-64-2layer-drop0.2-lr0.001,LSTM,64,2,0.2,0.001,40,28,0.9828125,0.07699353834614157,0.975,0.1037671213503927,52244,208.0673828125,0.8314120001159608
overnight-lstm-64-3layer-drop0.35-lr0.001,LSTM,64,3,0.35,0.001,40,37,0.98125,0.08801610618829728,0.978125,0.0931375075597316,85524,339.1337890625,1.4736579998861998
overnight-lstm-64-3layer-drop0.1-lr0.001,LSTM,64,3,0.1,0.001,40,31,0.98125,0.1083240165375173,0.978125,0.07673139618709683,85524,339.1337890625,1.2011939997319132
overnight-gru-384-1layer-drop0.0-lr0.002,GRU,384,1,0.0,0.002,40,13,0.98125,0.07359064450720325,0.98125,0.0635571406382951,455828,1783.5673828125,7.535106000141241
overnight-lstm-128-3layer-drop0.2-lr0.0005,LSTM,128,3,0.2,0.0005,40,33,0.98125,0.09201527161058039,0.9734375,0.11454943160060793,334868,1313.1337890625,1.9059520005248487
overnight-conv1d-64-2layer-drop0.35-lr0.001,Conv1D,64,2,0.35,0.001,35,30,0.98125,0.14230699595063925,0.978125,0.14959450215101242,14548,63.8857421875,0.5138339998666197
overnight-lstm-128-3layer-drop0.1-lr0.001,LSTM,128,3,0.1,0.001,40,31,0.9796875,0.1065710873575881,0.971875,0.12559464001096785,334868,1313.1337890625,1.8409639998571947
overnight-lstm-256-3layer-drop0.35-lr0.0005,LSTM,256,3,0.35,0.0005,40,20,0.9796875,0.08928917483426631,0.9625,0.14645159645006062,1325076,5181.1962890625,4.228650000295602
overnight-lstm-128-3layer-drop0.1-lr0.0005,LSTM,128,3,0.1,0.0005,40,27,0.9796875,0.11044193487614393,0.959375,0.14971001059748232,334868,1313.1337890625,1.8838680000044405
overnight-lstm-128-1layer-drop0.0-lr0.0005,LSTM,128,1,0.0,0.0005,40,36,0.9796875,0.08703198959119618,0.9796875,0.09209901154972613,70676,279.0673828125,0.637527999933809
overnight-lstm-64-3layer-drop0.1-lr0.0005,LSTM,64,3,0.1,0.0005,40,39,0.9796875,0.07600429756566882,0.9796875,0.07600429756566882,85524,339.1337890625,1.954859999823384
overnight-gru-64-1layer-drop0.0-lr0.001,GRU,64,1,0.0,0.001,40,37,0.9796875,0.0931790749076753,0.9734375,0.1137786041246727,14548,59.8173828125,1.909245999995619
overnight-gru-64-2layer-drop0.35-lr0.0005,GRU,64,2,0.35,0.0005,40,38,0.9796875,0.0915288244374096,0.971875,0.0982518246397376,39508,158.3173828125,3.68988000031095
overnight-lstm-64-2layer-drop0.35-lr0.0005,LSTM,64,2,0.35,0.0005,40,37,0.9796875,0.10185274807736278,0.9734375,0.13700415194034576,52244,208.0673828125,0.8494120003888384
overnight-lstm-64-2layer-drop0.35-lr0.001,LSTM,64,2,0.35,0.001,40,32,0.978125,0.10387364909984172,0.9625,0.17102129319682718,52244,208.0673828125,0.8276319998549297
overnight-conv1d-64-2layer-drop0.35-lr0.0005,Conv1D,64,2,0.35,0.0005,35,33,0.9765625,0.33215256705880164,0.9625,0.30950951799750326,14548,63.8857421875,0.5386540002655238
overnight-lstm-128-3layer-drop0.2-lr0.001,LSTM,128,3,0.2,0.001,40,25,0.9765625,0.12625500350259244,0.9625,0.1734854541020468,334868,1313.1337890625,2.0670020004035905
overnight-lstm-128-1layer-drop0.0-lr0.001,LSTM,128,1,0.0,0.001,40,23,0.9765625,0.09333482845686376,0.975,0.11659813709557057,70676,279.0673828125,0.6304140004795045
overnight-gru-64-3layer-drop0.1-lr0.0003,GRU,64,3,0.1,0.0003,40,38,0.975,0.1391779392957687,0.9671875,0.1389436386525631,64468,256.8837890625,5.500519999768585
overnight-gru-128-1layer-drop0.0-lr0.0003,GRU,128,1,0.0,0.0003,40,38,0.975,0.116034360229969,0.9703125,0.1179468208923935,53652,212.5673828125,2.3961460002465174
overnight-lstm-64-3layer-drop0.0-lr0.001,LSTM,64,3,0.0,0.001,40,35,0.975,0.13617492425255479,0.9703125,0.1319941037800163,85524,339.1337890625,1.2837260001106188
overnight-lstm-64-1layer-drop0.0-lr0.001,LSTM,64,1,0.0,0.001,40,39,0.975,0.11306428154930473,0.975,0.11306428154930473,18964,77.0673828125,0.5192619998706505
overnight-lstm-256-3layer-drop0.1-lr0.001,LSTM,256,3,0.1,0.001,40,13,0.975,0.12039775568991899,0.9703125,0.14810116405133159,1325076,5181.1962890625,4.381877999985591
overnight-lstm-64-2layer-drop0.0-lr0.0005,LSTM,64,2,0.0,0.0005,40,39,0.975,0.11276547014713287,0.975,0.11276547014713287,52244,208.0673828125,0.8537399995839223
overnight-lstm-64-3layer-drop0.2-lr0.001,LSTM,64,3,0.2,0.001,40,29,0.975,0.14511153707280755,0.9640625,0.20162839693948625,85524,339.1337890625,1.334511999739334
overnight-lstm-64-2layer-drop0.2-lr0.0005,LSTM,64,2,0.2,0.0005,40,37,0.9734375,0.11878378298133611,0.9703125,0.13149778535589576,52244,208.0673828125,0.8349819999421015
overnight-lstm-256-3layer-drop0.2-lr0.001,LSTM,256,3,0.2,0.001,40,15,0.971875,0.139368892647326,0.8859375,0.569315908011049,1325076,5181.1962890625,4.296724000014365
overnight-gru-64-3layer-drop0.35-lr0.0003,GRU,64,3,0.35,0.0003,40,39,0.9703125,0.1503098167479038,0.9703125,0.1503098167479038,64468,256.8837890625,5.525868000113405
overnight-gru-64-3layer-drop0.0-lr0.0003,GRU,64,3,0.0,0.0003,40,39,0.96875,0.147216442041099,0.96875,0.147216442041099,64468,256.8837890625,5.832592000369914
overnight-lstm-64-2layer-drop0.1-lr0.0005,LSTM,64,2,0.1,0.0005,40,38,0.9671875,0.1350206091068685,0.9625,0.15882220910862088,52244,208.0673828125,0.8356379996985197
overnight-gru-64-3layer-drop0.2-lr0.0003,GRU,64,3,0.2,0.0003,40,37,0.965625,0.1633450085297227,0.9609375,0.1579692486673593,64468,256.8837890625,5.517178000300191
overnight-lstm-64-3layer-drop0.0-lr0.0005,LSTM,64,3,0.0,0.0005,40,39,0.965625,0.14023332130163907,0.965625,0.14023332130163907,85524,339.1337890625,2.196853999630548
