epoch,train_loss,train_accuracy,val_loss,val_accuracy,best_val_accuracy,name,kind,hidden_layers,conv_channels,dropout,use_batchnorm,lr,epochs,train_batches,valid_batches
12,0.39439834306637445,0.8575520833333333,0.41671155180249897,0.8522321428571429,0.8553571428571428,overnight_cnn_32_64_128_drop0.0_bn0_lr0.002,cnn,"256,128","32,64,128",0.0,False,0.002,12,120,35
10,0.4084680902461211,0.8559895833333333,0.40815585213048117,0.8517857142857143,0.8517857142857143,overnight_dense_420_256_drop0.0_bn0_lr0.0003,dense,"420,256",,0.0,False,0.0003,10,120,35
10,0.38516012442608677,0.8552083333333333,0.3946134405476706,0.8517857142857143,0.8580357142857142,overnight_dense_256_128_drop0.2_bn1_lr0.002,dense,"256,128",,0.2,True,0.002,10,120,35
10,0.39798799604177476,0.8544270833333333,0.37785581605775015,0.8513392857142857,0.8620535714285714,overnight_dense_256_128_drop0.2_bn1_lr0.001,dense,"256,128",,0.2,True,0.001,10,120,35
10,0.48293083570897577,0.8264322916666667,0.4199731094496591,0.8513392857142857,0.8517857142857143,overnight_dense_128_64_drop0.35_bn1_lr0.001,dense,"128,64",,0.35,True,0.001,10,120,35
10,0.4277667348583539,0.855078125,0.4332574444157737,0.8513392857142857,0.8513392857142857,overnight_dense_256_128_drop0.1_bn1_lr0.0001,dense,"256,128",,0.1,True,0.0001,10,120,35
10,0.4414178612331549,0.8483072916666666,0.4001030709062304,0.8513392857142857,0.8598214285714286,overnight_dense_420_256_drop0.35_bn1_lr0.0001,dense,"420,256",,0.35,True,0.0001,10,120,35
10,0.43520683820048967,0.8436197916666667,0.41382686708654676,0.8513392857142857,0.8513392857142857,overnight_dense_512_256_drop0.2_bn0_lr0.0003,dense,"512,256",,0.2,False,0.0003,10,120,35
10,0.404514679685235,0.864453125,0.42484499301229206,0.8508928571428571,0.8616071428571429,overnight_dense_512_256_128_drop0.1_bn1_lr0.0001,dense,"512,256,128",,0.1,True,0.0001,10,120,35
10,0.4179669085890055,0.851953125,0.4205378213099071,0.8504464285714286,0.8504464285714286,overnight_dense_512_256_128_drop0.0_bn0_lr0.0003,dense,"512,256,128",,0.0,False,0.0003,10,120,35
10,0.4095527518540621,0.8515625,0.40037134970937455,0.8504464285714286,0.8575892857142857,overnight_dense_512_256_128_drop0.35_bn1_lr0.001,dense,"512,256,128",,0.35,True,0.001,10,120,35
10,0.41082002433637776,0.8502604166666666,0.41008893762316023,0.8504464285714286,0.8549107142857143,overnight_dense_256_128_drop0.1_bn0_lr0.001,dense,"256,128",,0.1,False,0.001,10,120,35
